#Classification	S-4-DICUND-B_bracken_P.kreport
k__Bacteria	7143
k__Bacteria|p__Actinobacteria	4757
k__Bacteria|p__Cyanobacteria	81
k__Bacteria|p__Proteobacteria	2034
k__Bacteria|p__Acidobacteria	236
k__Bacteria|p__Bacteroidetes	19
k__Bacteria|p__Planctomycetes	12
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	297
k__Eukaryota|k__Viridiplantae	170
k__Eukaryota|k__Viridiplantae|p__Streptophyta	170
k__Eukaryota|k__Metazoa	124
k__Eukaryota|k__Metazoa|p__Chordata	124
k__Eukaryota|k__Fungi	2
k__Eukaryota|k__Fungi|p__Basidiomycota	2
