#Classification	NS51_bracken_O.kreport
k__Bacteria	5116723
k__Bacteria|p__Firmicutes	4407696
k__Bacteria|p__Firmicutes|c__Clostridia	4343903
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	4343903
k__Bacteria|p__Firmicutes|c__Bacilli	38657
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	38465
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	192
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	20645
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	20645
k__Bacteria|p__Firmicutes|c__Tissierellia	3101
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	3101
k__Bacteria|p__Firmicutes|c__Negativicutes	1389
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	790
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	597
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1
k__Bacteria|p__Actinobacteria	512409
k__Bacteria|p__Actinobacteria|c__Actinomycetia	507362
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	506718
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	273
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	259
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	82
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	28
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	5047
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	3559
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	1488
k__Bacteria|p__Proteobacteria	137790
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	130314
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	130062
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	157
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	94
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4646
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	4626
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	15
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	5
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2468
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2462
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	6
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	339
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	339
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	20
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	20
k__Bacteria|p__Bacteroidetes	58266
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	58116
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	58116
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	150
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	150
k__Bacteria|p__Fusobacteria	460
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	460
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	460
k__Bacteria|p__Spirochaetes	87
k__Bacteria|p__Spirochaetes|c__Spirochaetia	87
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	87
k__Bacteria|p__Verrucomicrobia	11
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	11
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	11
k__Eukaryota	145
k__Eukaryota|k__Viridiplantae	94
k__Eukaryota|k__Viridiplantae|p__Streptophyta	94
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	94
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	74
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malvales	20
k__Eukaryota|k__Fungi	51
k__Eukaryota|k__Fungi|p__Ascomycota	51
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	51
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	51
k__Viruses	4971
k__Viruses|k__Heunggongvirae	4971
k__Viruses|k__Heunggongvirae|p__Uroviricota	4971
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	4971
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	4971
