feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroidaceae	NAFLD	Negative	0.329472234104216	0.0614450581180953	35	35	6.33688684425717e-06	0.000411897644876716
Marinifilaceae	NAFLD	Negative	0.0408900534967618	0.00987782225287148	35	32	0.000226005079648646	0.00734516508858098
Lachnospiraceae	NAFLD	Negative	-0.22077657960571	0.0633501853352543	35	35	0.00141194048816932	0.0305920439103352
Tannerellaceae	NAFLD	Negative	0.0651704531265177	0.0202860370933767	35	33	0.00293396168010359	0.0476768773016834
Streptococcaceae	NAFLD	Negative	-0.0339656241683317	0.0110465707529686	35	34	0.00421000052090202	0.0547300067717263
Bifidobacteriaceae	NAFLD	Negative	-0.0960618336666048	0.0344270964511156	35	33	0.00868244950177087	0.0940598696025178
Oscillospiraceae	NAFLD	Negative	0.0640997235664868	0.0235859048552451	35	35	0.0103907132963507	0.0964851948946854
Coriobacteriaceae	NAFLD	Negative	-0.0552111071898543	0.0213723653075502	35	32	0.0144054687090499	0.117044433261031
Acidaminococcaceae	NAFLD	Negative	0.031318282345802	0.0129022967195725	35	20	0.020830985162793	0.142020078454028
Peptostreptococcaceae	NAFLD	Negative	-0.0526022904014223	0.0219179266019284	35	35	0.0221979672483181	0.142020078454028
UBA1381	NAFLD	Negative	-0.0190875269352226	0.00806908581823391	35	32	0.0240341671229894	0.142020078454028
Nanosynbacteraceae	NAFLD	Negative	-0.00291386712443865	0.0012592568789052	35	5	0.0270397000879242	0.146465042142923
Campylobacteraceae	NAFLD	Negative	0.0036725044550995	0.00163465446256742	35	5	0.0314723865023385	0.152951460984874
Gemellaceae	NAFLD	Negative	-0.00233301305618508	0.00104798080805874	35	4	0.0329433915967421	0.152951460984874
Barnesiellaceae	NAFLD	Negative	0.0226368958081953	0.0112000832396989	35	14	0.0514389887124827	0.185751903683965
Desulfovibrionaceae	NAFLD	Negative	0.0145500143004247	0.00702978154285257	35	22	0.0463761583361588	0.185751903683965
Monoglobaceae	NAFLD	Negative	0.0300167765637323	0.0147236853119935	35	19	0.0495600801309168	0.185751903683965
Rikenellaceae	NAFLD	Negative	0.0497699127285797	0.0238421953956981	35	32	0.0446449745333683	0.185751903683965
GCA.900066905	NAFLD	Negative	0.00278174081435639	0.00142975184575598	35	4	0.0602606003625343	0.206154685450775
