#Classification	GQ38_bracken_C.kreport
k__Bacteria	19253347
k__Bacteria|p__Bacteroidetes	10068303
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	10068303
k__Bacteria|p__Firmicutes	7720155
k__Bacteria|p__Firmicutes|c__Clostridia	6986116
k__Bacteria|p__Firmicutes|c__Negativicutes	350605
k__Bacteria|p__Firmicutes|c__Bacilli	292895
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	90384
k__Bacteria|p__Firmicutes|c__Tissierellia	154
k__Bacteria|p__Actinobacteria	1292401
k__Bacteria|p__Actinobacteria|c__Actinomycetia	873757
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	418643
k__Bacteria|p__Proteobacteria	172080
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	169697
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	948
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	18
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1215
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	200
k__Bacteria|p__Spirochaetes	278
k__Bacteria|p__Spirochaetes|c__Spirochaetia	278
k__Bacteria|p__Verrucomicrobia	111
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	111
k__Bacteria|p__Fusobacteria	7
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	7
k__Bacteria|p__Synergistetes	5
k__Bacteria|p__Synergistetes|c__Synergistia	5
k__Bacteria|p__Candidatus_Saccharibacteria	4
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	4
k__Eukaryota	268
k__Eukaryota|k__Viridiplantae	177
k__Eukaryota|k__Viridiplantae|p__Streptophyta	177
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	177
k__Eukaryota|k__Fungi	88
k__Eukaryota|k__Fungi|p__Ascomycota	88
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	88
k__Eukaryota|k__Metazoa	2
k__Eukaryota|k__Metazoa|p__Chordata	2
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2
k__Viruses	4791
k__Viruses|k__Heunggongvirae	4791
k__Viruses|k__Heunggongvirae|p__Uroviricota	4791
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	4791
