#Classification	S-11-POLPIL-G_bracken_P.kreport
k__Bacteria	168190
k__Bacteria|p__Proteobacteria	127104
k__Bacteria|p__Actinobacteria	26905
k__Bacteria|p__Cyanobacteria	6685
k__Bacteria|p__Chloroflexi	13
k__Bacteria|p__Firmicutes	5
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Acidobacteria	3935
k__Bacteria|p__Bacteroidetes	2312
k__Bacteria|p__Planctomycetes	1199
k__Bacteria|p__Verrucomicrobia	17
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Spirochaetes	8
k__Eukaryota	42666
k__Eukaryota|k__Viridiplantae	40169
k__Eukaryota|k__Viridiplantae|p__Streptophyta	40163
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	6
k__Eukaryota|k__Metazoa	2031
k__Eukaryota|k__Metazoa|p__Chordata	2031
k__Eukaryota|k__Fungi	465
k__Eukaryota|k__Fungi|p__Ascomycota	413
k__Eukaryota|k__Fungi|p__Basidiomycota	51
