#Classification	S-12-POLJUN-G_bracken_P.kreport
k__Bacteria	86480
k__Bacteria|p__Proteobacteria	74813
k__Bacteria|p__Cyanobacteria	9819
k__Bacteria|p__Actinobacteria	1170
k__Bacteria|p__Firmicutes	200
k__Bacteria|p__Acidobacteria	389
k__Bacteria|p__Bacteroidetes	72
k__Bacteria|p__Planctomycetes	7
k__Bacteria|p__Chlamydiae	8
k__Eukaryota	3074
k__Eukaryota|k__Viridiplantae	2788
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2788
k__Eukaryota|k__Metazoa	229
k__Eukaryota|k__Metazoa|p__Chordata	229
k__Eukaryota|k__Fungi	57
k__Eukaryota|k__Fungi|p__Ascomycota	46
k__Eukaryota|k__Fungi|p__Basidiomycota	10
