#Classification	S-3-POLJUN-B_bracken_P.kreport
k__Bacteria	1152638
k__Bacteria|p__Proteobacteria	827779
k__Bacteria|p__Actinobacteria	268121
k__Bacteria|p__Cyanobacteria	2154
k__Bacteria|p__Firmicutes	2194
k__Bacteria|p__Armatimonadetes	52
k__Bacteria|p__Deinococcus-Thermus	15
k__Bacteria|p__Chloroflexi	207
k__Bacteria|p__Bacteroidetes	25875
k__Bacteria|p__Chlorobi	4
k__Bacteria|p__Rhodothermaeota	28
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	125
k__Bacteria|p__Acidobacteria	19464
k__Bacteria|p__Planctomycetes	5256
k__Bacteria|p__Verrucomicrobia	856
k__Bacteria|p__Chlamydiae	167
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Candidatus_Saccharibacteria	20
k__Bacteria|p__Spirochaetes	311
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	12604
k__Eukaryota|k__Fungi	3292
k__Eukaryota|k__Fungi|p__Ascomycota	2784
k__Eukaryota|k__Fungi|p__Basidiomycota	508
k__Eukaryota|k__Metazoa	3130
k__Eukaryota|k__Metazoa|p__Chordata	3130
k__Eukaryota|k__Viridiplantae	6157
k__Eukaryota|k__Viridiplantae|p__Streptophyta	6079
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	77
k__Eukaryota|p__Euglenozoa	13
k__Eukaryota|p__Cercozoa	7
k__Eukaryota|p__Bacillariophyta	3
k__Archaea	11
k__Archaea|p__Euryarchaeota	11
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
