#Classification	S-26-POLPIL-B_bracken_P.kreport
k__Bacteria	77357
k__Bacteria|p__Proteobacteria	49272
k__Bacteria|p__Actinobacteria	9393
k__Bacteria|p__Cyanobacteria	1061
k__Bacteria|p__Firmicutes	5482
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	11787
k__Bacteria|p__Bacteroidetes	260
k__Bacteria|p__Planctomycetes	96
k__Bacteria|p__Chlamydiae	2
k__Eukaryota	571
k__Eukaryota|k__Metazoa	364
k__Eukaryota|k__Metazoa|p__Chordata	364
k__Eukaryota|k__Fungi	30
k__Eukaryota|k__Fungi|p__Ascomycota	26
k__Eukaryota|k__Fungi|p__Basidiomycota	4
k__Eukaryota|k__Viridiplantae	175
k__Eukaryota|k__Viridiplantae|p__Streptophyta	175
