#Classification	NS55_bracken_P.kreport
k__Bacteria	6914232
k__Bacteria|p__Firmicutes	5684179
k__Bacteria|p__Actinobacteria	364753
k__Bacteria|p__Chloroflexi	11
k__Bacteria|p__Deinococcus-Thermus	2
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Bacteroidetes	825834
k__Bacteria|p__Proteobacteria	35658
k__Bacteria|p__Verrucomicrobia	2801
k__Bacteria|p__Spirochaetes	496
k__Bacteria|p__Candidatus_Saccharibacteria	465
k__Bacteria|p__Fusobacteria	27
k__Bacteria|p__Synergistetes	1
k__Eukaryota	56
k__Eukaryota|k__Fungi	32
k__Eukaryota|k__Fungi|p__Ascomycota	32
k__Eukaryota|k__Viridiplantae	24
k__Eukaryota|k__Viridiplantae|p__Streptophyta	24
k__Archaea	54
k__Archaea|p__Euryarchaeota	54
k__Viruses	83998
k__Viruses|k__Heunggongvirae	83998
k__Viruses|k__Heunggongvirae|p__Uroviricota	83998
