feature	Actinomycetaceae	Anoxybacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Dermatophilaceae	Effusibacillaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Listeriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	NICIL.2	Neisseriaceae	Pasteurellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002340	0	0	657	0	0	0	8331	0	0	0	0	0	0	225	0	0	190	1094	635	0	0	0	3415	41459	0	0	0	0	0	0	0	0
SRR20002343	0	10816	1974	0	0	0	59557	0	6723	1332	3462	0	724	0	0	2743	2338	11098	6121	14629	0	0	35342	289267	1017	0	2111	1074	85076	444	59997	0
SRR20002345	0	4616	9900	0	0	0	134447	815	2953	0	3203	8074	695	0	0	1292	2627	13735	22057	2954	0	0	195032	311152	907	0	1548	1573	3145	0	45713	665
SRR20002351	5004	0	0	395	0	0	49576	0	0	615	0	4070	443	1165	664	0	1783	5287	12441	0	13111	863	79221	196559	1100	421	0	1092	4307	21657	0	0
SRR20002352	0	0	0	0	0	0	22855	0	0	287	0	292	0	0	0	0	352	2355	1021	0	0	0	14630	99564	0	0	0	486	830141	4607	0	844
SRR20002353	0	0	432	0	0	0	34848	0	0	522	0	0	0	0	0	0	411	3707	0	0	0	0	8527	156703	592	0	0	552	0	0	141	1994
SRR20002355	0	0	0	0	0	0	12450	0	0	0	0	0	0	0	0	0	254	470	384	0	0	0	7374	58477	189	0	0	0	0	0	0	192
SRR20002356	1267	389	0	0	0	0	1691	0	369	0	0	3988	0	0	0	0	222	0	152	663	0	0	3594	280515	0	0	0	0	0	3227	3808	0
SRR20002360	202	0	612	478	0	0	11694	0	0	0	0	0	0	0	0	0	1232	848	902	0	0	0	10017	73179	116	0	0	190	176	0	0	0
SRR20002363	0	0	0	0	0	0	34761	0	0	0	0	0	0	0	0	0	0	1986	5541	0	0	0	6184	152347	519	0	0	533	1503145	27366	207	382
SRR20002365	0	0	0	0	0	0	41203	0	0	0	0	0	0	0	0	617	5353	3836	4320	0	588	0	53955	198901	909	0	0	913	1049	0	477	0
SRR20002368	0	0	290	0	0	0	21632	0	0	481	0	0	495	0	0	0	534	2049	952	0	0	0	10031	100663	286	0	0	354	1223952	0	0	0
SRR20002369	0	0	0	0	401	60984	0	0	0	0	0	37377	0	2735	0	0	0	0	0	0	0	220758	202	408	0	0	0	0	7983	0	0	0
SRR20002371	0	321	381	0	0	0	901	0	337	0	0	1035	0	0	0	0	0	0	141	779	0	0	2721	7158	0	0	0	0	4394	6667	3003	0
SRR20002373	0	4160	1128	0	0	0	37219	0	2279	854	1887	0	0	0	0	0	0	3825	2052	2757	0	0	10715	156450	590	0	855	550	303	0	24191	0
SRR20002375	0	726	375	0	0	0	13594	0	539	0	461	147	0	0	0	0	510	1213	2412	838	0	0	6237	66617	254	0	0	173	223	0	6148	0
SRR20002377	0	0	0	0	0	0	977	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	1459	6887	0	0	0	0	24072	0	0	0
SRR20002378	0	0	326	0	0	0	5108	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	1200	32092	0	0	0	0	0	0	0	0
SRR20002379	0	0	745	0	0	0	67048	0	0	0	0	0	708	0	0	0	884	6582	1220	0	0	0	6561	295532	1207	0	0	1132	0	0	0	2131
SRR20002380	0	0	262	1025	0	650	3035	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	789	17630	0	0	286	0	1069113	0	0	489
SRR20002382	630	11182	883	0	0	0	51263	475	7135	0	3668	0	0	0	0	0	3618	7232	2300	12825	0	411	21739	220966	0	0	2285	1664	999	640	62339	0
SRR20002384	0	863	396	226	0	0	8090	0	769	0	414	0	0	0	0	0	0	408	115718	2202	0	0	3652	40200	166	0	0	0	362	0	7977	195
SRR20002386	0	0	0	0	0	0	1607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1121	8907	0	0	0	0	0	0	0	0
SRR20002388	0	735	3311	0	223	0	17808	0	351	0	652	0	190	0	0	0	850	2039	350	215	0	0	5323	88131	251	0	0	968	0	2911	7293	0
SRR20002391	0	0	11631	0	576	0	128600	0	0	0	0	1376	1002	0	0	0	2719	14272	10063	0	0	0	148742	573728	1554	2620	0	2415	692	0	355	0
SRR20002394	0	0	0	0	0	0	1944	0	0	0	0	0	0	1064	0	0	0	0	412784	0	0	0	0	8050	0	0	0	0	5186	0	289	0
SRR20002396	395	1678	575	0	0	0	33255	0	1112	0	962	91929	268	0	0	576	1946	4632	1299	1862	2862	0	9610	167066	534	0	506	683	1223	5334	13289	490
SRR20002397	1568	0	0	0	0	0	47887	0	0	362	0	0	0	0	0	0	11151	3884	1962	0	0	0	8358	180798	1079	0	0	862	1814	0	206	0
