#Classification	S-6-POLPIL-G_bracken_O.kreport
k__Bacteria	1081680
k__Bacteria|p__Proteobacteria	773161
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	490294
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	290815
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	142712
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	36580
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	13816
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	5888
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	55
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	141
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	213
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	54
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	13
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	207504
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	201462
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3341
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1005
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1696
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	72406
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	36669
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	17623
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	11638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1053
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	888
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	268
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	235
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2027
