#Classification	S-7-POLJUN-G_bracken_P.kreport
k__Bacteria	167447
k__Bacteria|p__Proteobacteria	145747
k__Bacteria|p__Actinobacteria	16780
k__Bacteria|p__Cyanobacteria	1551
k__Bacteria|p__Firmicutes	183
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Acidobacteria	1727
k__Bacteria|p__Bacteroidetes	1263
k__Bacteria|p__Gemmatimonadetes	10
k__Bacteria|p__Planctomycetes	168
k__Bacteria|p__Verrucomicrobia	10
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	25406
k__Eukaryota|k__Viridiplantae	24160
k__Eukaryota|k__Viridiplantae|p__Streptophyta	24159
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|k__Metazoa	1072
k__Eukaryota|k__Metazoa|p__Chordata	1072
k__Eukaryota|k__Fungi	172
k__Eukaryota|k__Fungi|p__Ascomycota	156
k__Eukaryota|k__Fungi|p__Basidiomycota	16
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
