#Classification	SRR5091482_bracken_C.kreport
k__Bacteria	24222185
k__Bacteria|p__Bacteroidetes	12174036
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	12174007
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	27
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2
k__Bacteria|p__Firmicutes	11028127
k__Bacteria|p__Firmicutes|c__Clostridia	10809192
k__Bacteria|p__Firmicutes|c__Negativicutes	119706
k__Bacteria|p__Firmicutes|c__Bacilli	89814
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	9380
k__Bacteria|p__Firmicutes|c__Tissierellia	33
k__Bacteria|p__Actinobacteria	281419
k__Bacteria|p__Actinobacteria|c__Actinomycetia	253139
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	28280
k__Bacteria|p__Proteobacteria	737473
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	721727
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	4189
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	770
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	7526
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3259
k__Bacteria|p__Verrucomicrobia	910
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	910
k__Bacteria|p__Fusobacteria	161
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	161
k__Bacteria|p__Spirochaetes	38
k__Bacteria|p__Spirochaetes|c__Spirochaetia	38
k__Bacteria|p__Candidatus_Saccharibacteria	15
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	15
k__Bacteria|p__Elusimicrobia	1
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	1
k__Bacteria|p__Synergistetes	1
k__Bacteria|p__Synergistetes|c__Synergistia	1
k__Eukaryota	30676
k__Eukaryota|k__Viridiplantae	29716
k__Eukaryota|k__Viridiplantae|p__Streptophyta	29716
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	29716
k__Eukaryota|k__Fungi	951
k__Eukaryota|k__Fungi|p__Ascomycota	922
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	919
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	3
k__Eukaryota|k__Fungi|p__Basidiomycota	28
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	28
k__Eukaryota|p__Euglenozoa	9
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	9
k__Archaea	15
k__Archaea|p__Candidatus_Thermoplasmatota	12
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	12
k__Archaea|p__Euryarchaeota	3
k__Archaea|p__Euryarchaeota|c__Methanobacteria	3
k__Viruses	4472
k__Viruses|k__Heunggongvirae	4472
k__Viruses|k__Heunggongvirae|p__Uroviricota	4472
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	4472
