#Classification	S-20-POLJUN-G_bracken_O.kreport
k__Bacteria	865
k__Bacteria|p__Proteobacteria	750
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	736
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	736
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	14
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	14
k__Bacteria|p__Cyanobacteria	109
k__Bacteria|p__Cyanobacteria|o__Nostocales	109
k__Bacteria|p__Acidobacteria	5
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	5
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	5
