#Classification	GQ16_bracken_P.kreport
k__Bacteria	2841018
k__Bacteria|p__Firmicutes	1369466
k__Bacteria|p__Actinobacteria	525445
k__Bacteria|p__Tenericutes	391
k__Bacteria|p__Proteobacteria	627816
k__Bacteria|p__Bacteroidetes	253089
k__Bacteria|p__Fusobacteria	55296
k__Bacteria|p__Candidatus_Saccharibacteria	5043
k__Bacteria|p__Spirochaetes	4010
k__Bacteria|p__Synergistetes	459
k__Eukaryota	9218
k__Eukaryota|k__Metazoa	7877
k__Eukaryota|k__Metazoa|p__Chordata	7877
k__Eukaryota|k__Fungi	67
k__Eukaryota|k__Fungi|p__Basidiomycota	65
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Eukaryota|k__Viridiplantae	1091
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1091
k__Eukaryota|p__Apicomplexa	177
k__Eukaryota|p__Euglenozoa	4
k__Viruses	187
k__Viruses|k__Heunggongvirae	183
k__Viruses|k__Heunggongvirae|p__Uroviricota	174
k__Viruses|k__Heunggongvirae|p__Peploviricota	9
k__Viruses|k__Shotokuvirae	4
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	2
k__Viruses|k__Shotokuvirae|p__Cossaviricota	2
