#Classification	SRR20002376_bracken_P.kreport
k__Bacteria	32950
k__Bacteria|p__Proteobacteria	27426
k__Bacteria|p__Actinobacteria	2008
k__Bacteria|p__Firmicutes	3431
k__Bacteria|p__Deinococcus-Thermus	58
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Bacteroidetes	18
k__Bacteria|p__Fusobacteria	3
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	3517
k__Eukaryota|k__Metazoa	3299
k__Eukaryota|k__Metazoa|p__Chordata	3299
k__Eukaryota|k__Fungi	101
k__Eukaryota|k__Fungi|p__Basidiomycota	99
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Eukaryota|k__Viridiplantae	61
k__Eukaryota|k__Viridiplantae|p__Streptophyta	61
k__Eukaryota|p__Apicomplexa	54
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
