#Classification	S-1-POLJUN-G_bracken_P.kreport
k__Bacteria	288157
k__Bacteria|p__Proteobacteria	261045
k__Bacteria|p__Actinobacteria	19851
k__Bacteria|p__Cyanobacteria	46
k__Bacteria|p__Firmicutes	819
k__Bacteria|p__Acidobacteria	4189
k__Bacteria|p__Bacteroidetes	2053
k__Bacteria|p__Gemmatimonadetes	8
k__Bacteria|p__Planctomycetes	124
k__Bacteria|p__Verrucomicrobia	11
k__Bacteria|p__Chlamydiae	6
k__Eukaryota	28876
k__Eukaryota|k__Viridiplantae	26955
k__Eukaryota|k__Viridiplantae|p__Streptophyta	26955
k__Eukaryota|k__Metazoa	1767
k__Eukaryota|k__Metazoa|p__Chordata	1767
k__Eukaryota|k__Fungi	151
k__Eukaryota|k__Fungi|p__Ascomycota	113
k__Eukaryota|k__Fungi|p__Basidiomycota	38
k__Eukaryota|p__Euglenozoa	2
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	2
k__Viruses|k__Heunggongvirae	2
k__Viruses|k__Heunggongvirae|p__Uroviricota	2
