#Classification	NS67_bracken_P.kreport
k__Bacteria	8018680
k__Bacteria|p__Firmicutes	4966921
k__Bacteria|p__Actinobacteria	2310326
k__Bacteria|p__Bacteroidetes	472851
k__Bacteria|p__Verrucomicrobia	111023
k__Bacteria|p__Proteobacteria	155832
k__Bacteria|p__Fusobacteria	911
k__Bacteria|p__Candidatus_Saccharibacteria	610
k__Bacteria|p__Spirochaetes	166
k__Bacteria|p__Synergistetes	36
k__Archaea	365
k__Archaea|p__Candidatus_Thermoplasmatota	365
k__Eukaryota	197
k__Eukaryota|k__Fungi	134
k__Eukaryota|k__Fungi|p__Ascomycota	132
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Metazoa	4
k__Eukaryota|k__Metazoa|p__Chordata	4
k__Eukaryota|k__Viridiplantae	57
k__Eukaryota|k__Viridiplantae|p__Streptophyta	57
k__Viruses	38380
k__Viruses|k__Heunggongvirae	38380
k__Viruses|k__Heunggongvirae|p__Uroviricota	38380
