#Classification	GQ41_bracken_P.kreport
k__Bacteria	3015479
k__Bacteria|p__Firmicutes	1604996
k__Bacteria|p__Actinobacteria	23229
k__Bacteria|p__Bacteroidetes	1366659
k__Bacteria|p__Verrucomicrobia	656
k__Bacteria|p__Proteobacteria	19934
k__Bacteria|p__Spirochaetes	2
k__Eukaryota	1022
k__Eukaryota|k__Fungi	707
k__Eukaryota|k__Fungi|p__Ascomycota	707
k__Eukaryota|k__Viridiplantae	315
k__Eukaryota|k__Viridiplantae|p__Streptophyta	315
k__Viruses	5817
k__Viruses|k__Heunggongvirae	5817
k__Viruses|k__Heunggongvirae|p__Uroviricota	5817
