feature	Akkermansia	Alistipes	Anaerostipes	Bacteroides	Bifidobacterium	Blautia	Collinsella	Coprococcus	Dialister	Dorea	Eubacterium	Faecalibacterium	Firmicutes.unclassified	Fusicatenibacter	Gemmiger	Intestinibacter	Lachnospiraceae.unclassified	Lactobacillus	Parabacteroides	Prevotella	Roseburia	Ruminococcus	Ruthenibacterium	Streptococcus
NS11	0	0	0	0.5064446434135	0.301595702804835	0.172350589899323	0.172350589899323	0	0	0.172350589899323	0	0.172350589899323	0	0	0	0	0	0	0.244978663126864	0.785398163397448	0	0	0	0
NS13	0	0	0.367421904619802	0.316335000509266	0	0.316335000509266	0	0	0	0.455533356978361	0.367421904619802	0.455533356978361	0	0.316335000509266	0.180585214190698	0	0	0	0	0	0	0	0	0.180585214190698
NS21	0	0	0.31118424427751	0.626486311433508	0	0	0	0	0.177710600845112	0.177710600845112	0	0.40637778068433	0	0	0	0	0.177710600845112	0	0.177710600845112	0	0.523598775598299	0.177710600845112	0	0
NS25	0	0.180585214190698	0	0.769266332563325	0	0	0	0	0	0	0	0.704399186111886	0	0	0	0	0	0	0.256813917420807	0	0	0	0	0
NS27	0	0	0.244978663126864	0.393564135328064	0.63613206280501	0.172350589899323	0.244978663126864	0	0.172350589899323	0	0	0.301595702804835	0	0.244978663126864	0	0	0	0	0.244978663126864	0	0.172350589899323	0.172350589899323	0	0.244978663126864
NS28	0.248740049959281	0	0	0.174969045665689	0.248740049959281	0	0	0	0	0.174969045665689	0.248740049959281	0.399816663950217	0	0	0	0	0	0	0.248740049959281	0.800551998380542	0	0.174969045665689	0	0
NS29	0	0	0.177710600845112	0	0.626486311433508	0.31118424427751	0.177710600845112	0	0	0	0	0.361367123906708	0	0	0.252680255142079	0.177710600845112	0	0	0	0	0.177710600845112	0.486694955074773	0.177710600845112	0
NS30	0	0	0.177710600845112	0.252680255142079	0.252680255142079	0.593199776149629	0	0.177710600845112	0	0.177710600845112	0	0	0	0.31118424427751	0	0	0.523598775598299	0	0	0	0.361367123906708	0	0	0
NS32	0.169846288083674	0	0	0.387596686655181	0.169846288083674	0	0	0.344856576985306	0.169846288083674	0.169846288083674	0.426887174546417	0.463647609000806	0	0	0	0	0	0	0	0.387596686655181	0.169846288083674	0.297122516347102	0	0
NS34	0.177710600845112	0	0	0.944310015361389	0	0.252680255142079	0	0	0	0	0	0.177710600845112	0	0	0	0.252680255142079	0.177710600845112	0	0.31118424427751	0	0	0	0.177710600845112	0
NS36	0.420534335283965	0.321750554396642	0	0.50413004112552	0.321750554396642	0	0	0	0	0	0.321750554396642	0	0	0.261157410903024	0.183604010278919	0	0.183604010278919	0	0	0	0	0.37379217483451	0.183604010278919	0
NS38	0.301595702804835	0	0	0.5064446434135	0.63613206280501	0	0.172350589899323	0	0	0.172350589899323	0	0.301595702804835	0.172350589899323	0	0.172350589899323	0	0.244978663126864	0	0	0	0	0.244978663126864	0	0
NS39	0	0.301595702804835	0	0.244978663126864	0.470960700649922	0	0.244978663126864	0.172350589899323	0	0.172350589899323	0.301595702804835	0.63613206280501	0	0	0.244978663126864	0	0	0	0	0	0.172350589899323	0	0	0
NS4	0	0	0	0.540419500270584	0.393564135328064	0	0	0	0	0	0.5064446434135	0.433537909355837	0	0	0	0	0.244978663126864	0	0	0	0.350105777767146	0	0	0
NS40	0	0	0	0.180585214190698	0.367421904619802	0.180585214190698	0.316335000509266	0.256813917420807	0	0.256813917420807	0.316335000509266	0.413273808494454	0	0	0	0	0.256813917420807	0.256813917420807	0.256813917420807	0.180585214190698	0.256813917420807	0	0.180585214190698	0
NS41	0	0.241382961662867	0	0.344856576985306	0	0	0	0.169846288083674	0	0.169846288083674	0	0.387596686655181	0	0	0	0	0.297122516347102	0	0.169846288083674	0.7424883681445	0.241382961662867	0	0	0
NS46	0	0	0	0.433537909355837	0.393564135328064	0.172350589899323	0	0.470960700649922	0	0.244978663126864	0.433537909355837	0	0	0	0	0	0	0	0	0	0.244978663126864	0.393564135328064	0	0
NS51	0	0	0.241382961662867	0.169846288083674	0.531808096947568	0.241382961662867	0.241382961662867	0	0	0	0.241382961662867	0.169846288083674	0	0.344856576985306	0.169846288083674	0.169846288083674	0.169846288083674	0	0	0	0.297122516347102	0.426887174546417	0	0
NS55	0	0	0.297122516347102	0.241382961662867	0.241382961662867	0.241382961662867	0	0.169846288083674	0	0.169846288083674	0.241382961662867	0.426887174546417	0	0.169846288083674	0	0	0.241382961662867	0	0	0	0.387596686655181	0.498480437137433	0	0
NS58	0	0	0.248740049959281	0	0.399816663950217	0.399816663950217	0.174969045665689	0.174969045665689	0	0.306277369169669	0	0.174969045665689	0	0.306277369169669	0	0	0.514805955119811	0	0	0	0.306277369169669	0	0	0.174969045665689
NS6	0	0	0.31118424427751	0.691089970309746	0	0.252680255142079	0	0	0	0.252680255142079	0.361367123906708	0.486694955074773	0	0.177710600845112	0	0	0	0	0	0	0	0	0	0
NS62	0	0	0.248740049959281	0	0.248740049959281	0.399816663950217	0	0	0	0.174969045665689	0.248740049959281	0	0.174969045665689	0.306277369169669	0	0	0.514805955119811	0	0	0	0	0.549467244757627	0	0
NS67	0.183604010278919	0	0	0	0.684719203002283	0.420534335283965	0.183604010278919	0	0.261157410903024	0.261157410903024	0.183604010278919	0.183604010278919	0	0	0.183604010278919	0	0	0	0	0	0.183604010278919	0.321750554396642	0	0
