#Classification	GQ25_bracken_P.kreport
k__Bacteria	306695
k__Bacteria|p__Firmicutes	164658
k__Bacteria|p__Actinobacteria	50707
k__Bacteria|p__Tenericutes	13
k__Bacteria|p__Deinococcus-Thermus	7
k__Bacteria|p__Bacteroidetes	51860
k__Bacteria|p__Proteobacteria	37122
k__Bacteria|p__Fusobacteria	2273
k__Bacteria|p__Spirochaetes	47
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Eukaryota	4556
k__Eukaryota|k__Metazoa	4476
k__Eukaryota|k__Metazoa|p__Chordata	4476
k__Eukaryota|k__Fungi	46
k__Eukaryota|k__Fungi|p__Basidiomycota	46
k__Eukaryota|k__Viridiplantae	33
k__Eukaryota|k__Viridiplantae|p__Streptophyta	33
