#Classification	GQ29_bracken_P.kreport
k__Bacteria	22621583
k__Bacteria|p__Firmicutes	17316942
k__Bacteria|p__Actinobacteria	746277
k__Bacteria|p__Tenericutes	229
k__Bacteria|p__Deinococcus-Thermus	79
k__Bacteria|p__Fusobacteria	1973003
k__Bacteria|p__Bacteroidetes	1805690
k__Bacteria|p__Proteobacteria	470988
k__Bacteria|p__Candidatus_Saccharibacteria	305606
k__Bacteria|p__Spirochaetes	2733
k__Bacteria|p__Synergistetes	32
k__Bacteria|p__Planctomycetes	1
k__Eukaryota	6791
k__Eukaryota|k__Metazoa	4251
k__Eukaryota|k__Metazoa|p__Chordata	4251
k__Eukaryota|k__Fungi	11
k__Eukaryota|k__Fungi|p__Basidiomycota	11
k__Eukaryota|k__Viridiplantae	2526
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2513
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	13
k__Eukaryota|p__Apicomplexa	2
k__Viruses	3044
k__Viruses|k__Heunggongvirae	3044
k__Viruses|k__Heunggongvirae|p__Uroviricota	3028
k__Viruses|k__Heunggongvirae|p__Peploviricota	16
