#Classification	S-16-POLJUN-G_bracken_O.kreport
k__Bacteria	439338
k__Bacteria|p__Proteobacteria	281070
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	187836
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	118079
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	51710
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	13543
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2651
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1734
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	19
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	48
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	16
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	9
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	15
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	61645
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	58413
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1927
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	770
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	533
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	30419
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	13240
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	3961
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	9750
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	226
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	227
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	74
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	456
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	55
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	306
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	30
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	19
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1984
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	32
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	11
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	5
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1102
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	934
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	76
