#Classification	GQ40_bracken_P.kreport
k__Bacteria	12368163
k__Bacteria|p__Bacteroidetes	8818161
k__Bacteria|p__Firmicutes	3380853
k__Bacteria|p__Actinobacteria	38116
k__Bacteria|p__Verrucomicrobia	27903
k__Bacteria|p__Proteobacteria	103098
k__Bacteria|p__Spirochaetes	22
k__Bacteria|p__Synergistetes	6
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	148
k__Eukaryota|k__Metazoa	105
k__Eukaryota|k__Metazoa|p__Chordata	105
k__Eukaryota|k__Viridiplantae	43
k__Eukaryota|k__Viridiplantae|p__Streptophyta	43
k__Viruses	50054
k__Viruses|k__Heunggongvirae	50054
k__Viruses|k__Heunggongvirae|p__Uroviricota	50054
