#Classification	SRR5091591_bracken_P.kreport
k__Bacteria	12419487
k__Bacteria|p__Bacteroidetes	10283088
k__Bacteria|p__Firmicutes	1919873
k__Bacteria|p__Actinobacteria	4680
k__Bacteria|p__Proteobacteria	211670
k__Bacteria|p__Verrucomicrobia	58
k__Bacteria|p__Fusobacteria	48
k__Bacteria|p__Spirochaetes	58
k__Bacteria|p__Synergistetes	9
k__Eukaryota	975
k__Eukaryota|k__Viridiplantae	975
k__Eukaryota|k__Viridiplantae|p__Streptophyta	975
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	3871
k__Viruses|k__Heunggongvirae	3871
k__Viruses|k__Heunggongvirae|p__Uroviricota	3871
