#Classification	GQ2_bracken_P.kreport
k__Bacteria	12297026
k__Bacteria|p__Firmicutes	5280403
k__Bacteria|p__Actinobacteria	2453679
k__Bacteria|p__Tenericutes	145
k__Bacteria|p__Chloroflexi	4
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Bacteroidetes	2103998
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Proteobacteria	1942818
k__Bacteria|p__Fusobacteria	406874
k__Bacteria|p__Candidatus_Saccharibacteria	105952
k__Bacteria|p__Spirochaetes	3108
k__Bacteria|p__Synergistetes	36
k__Eukaryota	5833
k__Eukaryota|k__Metazoa	5581
k__Eukaryota|k__Metazoa|p__Chordata	5581
k__Eukaryota|k__Fungi	15
k__Eukaryota|k__Fungi|p__Basidiomycota	12
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Viridiplantae	235
k__Eukaryota|k__Viridiplantae|p__Streptophyta	235
k__Eukaryota|p__Apicomplexa	1
k__Viruses	363
k__Viruses|k__Heunggongvirae	363
k__Viruses|k__Heunggongvirae|p__Uroviricota	334
k__Viruses|k__Heunggongvirae|p__Peploviricota	29
