#Classification	S-5-POLCOM-B_bracken_P.kreport
k__Bacteria	31646
k__Bacteria|p__Proteobacteria	27439
k__Bacteria|p__Acidobacteria	1911
k__Bacteria|p__Actinobacteria	1471
k__Bacteria|p__Cyanobacteria	66
k__Bacteria|p__Bacteroidetes	722
k__Bacteria|p__Planctomycetes	32
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	145
k__Eukaryota|k__Metazoa	92
k__Eukaryota|k__Metazoa|p__Chordata	92
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Viridiplantae	43
k__Eukaryota|k__Viridiplantae|p__Streptophyta	43
k__Eukaryota|p__Euglenozoa	1
