#Classification	S-26-POLJUN-G_bracken_O.kreport
k__Bacteria	792703
k__Bacteria|p__Proteobacteria	538066
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	336990
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	182509
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	128124
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	18775
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	4796
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2367
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	263
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	87
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	43
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	6
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	157835
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	150669
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	4196
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1431
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1538
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	41096
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	19293
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	10398
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	6981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	450
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	274
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	430
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	108
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	719
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	313
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	91
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	65
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	23
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1726
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	22
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	43
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	47
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	10
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	89
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	6
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1960
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1641
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	92
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	136
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	53
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	4
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	11
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	18
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	80
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	79
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	1
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	60
