#Classification	S-9-POLCOM-B_bracken_P.kreport
k__Bacteria	71547
k__Bacteria|p__Proteobacteria	62305
k__Bacteria|p__Actinobacteria	5023
k__Bacteria|p__Cyanobacteria	1680
k__Bacteria|p__Firmicutes	614
k__Bacteria|p__Acidobacteria	1516
k__Bacteria|p__Bacteroidetes	386
k__Bacteria|p__Planctomycetes	17
k__Bacteria|p__Verrucomicrobia	2
k__Eukaryota	559
k__Eukaryota|k__Metazoa	434
k__Eukaryota|k__Metazoa|p__Chordata	434
k__Eukaryota|k__Fungi	24
k__Eukaryota|k__Fungi|p__Ascomycota	16
k__Eukaryota|k__Fungi|p__Basidiomycota	8
k__Eukaryota|k__Viridiplantae	99
k__Eukaryota|k__Viridiplantae|p__Streptophyta	99
k__Eukaryota|p__Euglenozoa	1
k__Viruses	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
