#Classification	NS13_bracken_P.kreport
k__Bacteria	12290912
k__Bacteria|p__Firmicutes	8119677
k__Bacteria|p__Actinobacteria	90647
k__Bacteria|p__Tenericutes	213
k__Bacteria|p__Cyanobacteria	78
k__Bacteria|p__Deinococcus-Thermus	27
k__Bacteria|p__Chloroflexi	9
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Bacteroidetes	4070823
k__Bacteria|p__Ignavibacteriae	15
k__Bacteria|p__Chlorobi	11
k__Bacteria|p__Gemmatimonadetes	2
k__Bacteria|p__Proteobacteria	7431
k__Bacteria|p__Spirochaetes	880
k__Bacteria|p__Verrucomicrobia	601
k__Bacteria|p__Planctomycetes	18
k__Bacteria|p__Chlamydiae	6
k__Bacteria|p__Fusobacteria	369
k__Bacteria|p__Candidatus_Saccharibacteria	32
k__Bacteria|p__Synergistetes	30
k__Bacteria|p__Dictyoglomi	20
k__Bacteria|p__Nitrospirae	7
k__Bacteria|p__Acidobacteria	5
k__Bacteria|p__Calditrichaeota	2
k__Bacteria|p__Thermotogae	2
k__Eukaryota	68876
k__Eukaryota|p__Evosea	65534
k__Eukaryota|k__Viridiplantae	2675
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2670
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	5
k__Eukaryota|k__Metazoa	656
k__Eukaryota|k__Metazoa|p__Chordata	656
k__Eukaryota|k__Fungi	9
k__Eukaryota|k__Fungi|p__Ascomycota	9
k__Archaea	187
k__Archaea|p__Euryarchaeota	181
k__Archaea|p__Candidatus_Thermoplasmatota	6
k__Viruses	1424863
k__Viruses|k__Heunggongvirae	1424863
k__Viruses|k__Heunggongvirae|p__Uroviricota	1424863
