#Classification	S-10-POLPIL-G_bracken_P.kreport
k__Bacteria	17918
k__Bacteria|p__Proteobacteria	14964
k__Bacteria|p__Actinobacteria	728
k__Bacteria|p__Cyanobacteria	338
k__Bacteria|p__Firmicutes	1044
k__Bacteria|p__Acidobacteria	519
k__Bacteria|p__Bacteroidetes	264
k__Bacteria|p__Planctomycetes	57
k__Eukaryota	2063
k__Eukaryota|k__Viridiplantae	1754
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1754
k__Eukaryota|k__Metazoa	300
k__Eukaryota|k__Metazoa|p__Chordata	300
k__Eukaryota|k__Fungi	8
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Eukaryota|k__Fungi|p__Basidiomycota	6
