#Classification	S-9-POLPIL-B_bracken_C.kreport
k__Bacteria	397
k__Bacteria|p__Proteobacteria	371
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	277
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	77
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	15
k__Bacteria|p__Acidobacteria	17
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	17
k__Bacteria|p__Actinobacteria	8
k__Bacteria|p__Actinobacteria|c__Actinomycetia	8
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1
