#Classification	S-7-POLCOM-G_bracken_P.kreport
k__Bacteria	1332399
k__Bacteria|p__Proteobacteria	952305
k__Bacteria|p__Actinobacteria	199042
k__Bacteria|p__Cyanobacteria	2472
k__Bacteria|p__Firmicutes	112357
k__Bacteria|p__Deinococcus-Thermus	224
k__Bacteria|p__Chloroflexi	71
k__Bacteria|p__Armatimonadetes	29
k__Bacteria|p__Tenericutes	9
k__Bacteria|p__Acidobacteria	48821
k__Bacteria|p__Bacteroidetes	13534
k__Bacteria|p__Chlorobi	14
k__Bacteria|p__Rhodothermaeota	23
k__Bacteria|p__Gemmatimonadetes	99
k__Bacteria|p__Fibrobacteres	2
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Planctomycetes	2568
k__Bacteria|p__Verrucomicrobia	390
k__Bacteria|p__Chlamydiae	34
k__Bacteria|p__Candidatus_Omnitrophica	7
k__Bacteria|p__Kiritimatiellaeota	124
k__Bacteria|p__Spirochaetes	147
k__Bacteria|p__Candidatus_Saccharibacteria	23
k__Bacteria|p__Candidatus_Absconditabacteria	4
k__Bacteria|p__Nitrospirae	24
k__Bacteria|p__Deferribacteres	3
k__Bacteria|p__Synergistetes	3
k__Bacteria|p__Thermotogae	19
k__Bacteria|p__Fusobacteria	6
k__Bacteria|p__Chrysiogenetes	31
k__Eukaryota	82604
k__Eukaryota|k__Viridiplantae	60934
k__Eukaryota|k__Viridiplantae|p__Streptophyta	60724
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	210
k__Eukaryota|k__Metazoa	15815
k__Eukaryota|k__Metazoa|p__Chordata	15815
k__Eukaryota|k__Fungi	5740
k__Eukaryota|k__Fungi|p__Ascomycota	5151
k__Eukaryota|k__Fungi|p__Basidiomycota	588
k__Eukaryota|p__Apicomplexa	43
k__Eukaryota|p__Bacillariophyta	14
k__Eukaryota|p__Cercozoa	11
k__Eukaryota|p__Euglenozoa	23
k__Eukaryota|p__Evosea	18
k__Eukaryota|p__Rhodophyta	3
k__Archaea	178
k__Archaea|p__Euryarchaeota	177
k__Archaea|p__Crenarchaeota	1
k__Viruses	20
k__Viruses|k__Heunggongvirae	17
k__Viruses|k__Heunggongvirae|p__Uroviricota	17
k__Viruses|k__Bamfordvirae	3
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	3
