#tool_version=4.0.4	database_version=4.0	min_alignment_length=75	min_mgcs=3	count_mode=INSERT_SCALED	value_type=counts
mOTU	Taxonomy	N-2-TORTOR-G
mOTUv4.0_032834	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc sp020829585	2
mOTUv4.0_034438	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc foliaceum_A	2
mOTUv4.0_052398	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Stigonema;s__Stigonema sp903903925	7
mOTUv4.0_052644	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Scleromatobacter;s__Scleromatobacter sp903845345	1
mOTUv4.0_055127	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Polymorphobacter_B;s__Unknown Polymorphobacter_B mOTUv4.0_055127	1
mOTUv4.0_064379	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_B;f__Blattabacteriaceae;g__Uzinura;s__Unknown Uzinura mOTUv4.0_064379	1
mOTUv4.0_076941	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Unknown Nostoc mOTUv4.0_076941	1
mOTUv4.0_089281	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc sp023522315	3
mOTUv4.0_089285	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc favosum	1
mOTUv4.0_089286	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc sp020829625	1
mOTUv4.0_089287	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc mirabile	2
mOTUv4.0_089496	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc sp002246015	2
mOTUv4.0_090715	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Palsa-1515;s__Palsa-1515 sp903970385	1
mOTUv4.0_090981	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc sp013343235	2
mOTUv4.0_096557	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc;s__Nostoc sp002245985	3
mOTUv4.0_099072	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Granulicella_C;s__Granulicella_C sibirica	1
mOTUv4.0_101579	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium madagascariense	1
mOTUv4.0_105862	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium sp022829585	1
mOTUv4.0_106006	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Scleromatobacter;s__Scleromatobacter humisilvae	2
mOTUv4.0_122905	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__Unknown Palsa-744 mOTUv4.0_122905	3
mOTUv4.0_unassigned	d__;p___A;c__;o__;f__;g__;s__	30
