#Classification	S-3-POLPIL-G_bracken_P.kreport
k__Bacteria	16630
k__Bacteria|p__Proteobacteria	12798
k__Bacteria|p__Actinobacteria	1725
k__Bacteria|p__Cyanobacteria	93
k__Bacteria|p__Firmicutes	1002
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	804
k__Bacteria|p__Bacteroidetes	193
k__Bacteria|p__Planctomycetes	10
k__Eukaryota	15537
k__Eukaryota|k__Metazoa	13499
k__Eukaryota|k__Metazoa|p__Chordata	13499
k__Eukaryota|k__Fungi	92
k__Eukaryota|k__Fungi|p__Basidiomycota	76
k__Eukaryota|k__Fungi|p__Ascomycota	16
k__Eukaryota|k__Viridiplantae	1945
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1945
