#Classification	S-3-DICUND-B_bracken_C.kreport
k__Bacteria	33507
k__Bacteria|p__Proteobacteria	21136
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	13675
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1949
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	5505
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	7
k__Bacteria|p__Actinobacteria	11823
k__Bacteria|p__Actinobacteria|c__Actinomycetia	11550
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	203
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	69
k__Bacteria|p__Firmicutes	10
k__Bacteria|p__Firmicutes|c__Bacilli	10
k__Bacteria|p__Acidobacteria	442
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	442
k__Bacteria|p__Bacteroidetes	55
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	51
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	4
k__Bacteria|p__Planctomycetes	36
k__Bacteria|p__Planctomycetes|c__Planctomycetia	36
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Chlamydiae|c__Chlamydiia	2
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Eukaryota	598
k__Eukaryota|k__Viridiplantae	332
k__Eukaryota|k__Viridiplantae|p__Streptophyta	332
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	279
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	53
k__Eukaryota|k__Metazoa	256
k__Eukaryota|k__Metazoa|p__Chordata	256
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	256
k__Eukaryota|k__Fungi	10
k__Eukaryota|k__Fungi|p__Ascomycota	10
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	10
