#Classification	S-3-DICUND-B_bracken_P.kreport
k__Bacteria	33516
k__Bacteria|p__Proteobacteria	21136
k__Bacteria|p__Actinobacteria	11689
k__Bacteria|p__Cyanobacteria	133
k__Bacteria|p__Firmicutes	11
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Acidobacteria	447
k__Bacteria|p__Bacteroidetes	55
k__Bacteria|p__Planctomycetes	36
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Chlamydiae	2
k__Eukaryota	598
k__Eukaryota|k__Viridiplantae	332
k__Eukaryota|k__Viridiplantae|p__Streptophyta	332
k__Eukaryota|k__Metazoa	256
k__Eukaryota|k__Metazoa|p__Chordata	256
k__Eukaryota|k__Fungi	10
k__Eukaryota|k__Fungi|p__Ascomycota	10
