#Classification	GQ37_bracken_O.kreport
k__Bacteria	34631935
k__Bacteria|p__Bacteroidetes	18605069
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	18597464
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	18597375
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales	89
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	5365
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	5365
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1364
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	1364
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	290
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	290
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	160
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	160
k__Bacteria|p__Bacteroidetes|o__Bacteroidetes_Order_II._Incertae_sedis	416
k__Bacteria|p__Bacteroidetes|c__Saprospiria	7
k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales	7
k__Bacteria|p__Chlorobi	169
k__Bacteria|p__Chlorobi|c__Chlorobia	169
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	169
k__Bacteria|p__Ignavibacteriae	120
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	120
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales	120
k__Bacteria|p__Rhodothermaeota	10
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia	10
k__Bacteria|p__Rhodothermaeota|c__Rhodothermia|o__Rhodothermales	10
k__Bacteria|p__Fibrobacteres	38
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	38
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	38
k__Bacteria|p__Gemmatimonadetes	28
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	28
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	28
k__Bacteria|p__Firmicutes	13379134
k__Bacteria|p__Firmicutes|c__Clostridia	12716622
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	12714505
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	1853
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	228
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	26
k__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales	6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales	2
k__Bacteria|p__Firmicutes|c__Negativicutes	392427
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	366230
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	25044
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1152
k__Bacteria|p__Firmicutes|c__Bacilli	138583
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	120201
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	18382
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	128560
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	128560
k__Bacteria|p__Firmicutes|c__Tissierellia	2861
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2861
k__Bacteria|p__Firmicutes|c__Limnochordia	79
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	79
k__Bacteria|p__Actinobacteria	1197001
k__Bacteria|p__Actinobacteria|c__Actinomycetia	670513
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	658179
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	4332
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	2869
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	2499
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1316
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	713
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	204
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	178
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	150
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	29
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	11
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	5
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	4
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	1
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	526395
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	487788
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	38607
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	31
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	31
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	29
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	21
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	7
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	27
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	27
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	5
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	5
k__Bacteria|p__Tenericutes	2524
k__Bacteria|p__Tenericutes|c__Mollicutes	2245
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	1301
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	712
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	231
k__Bacteria|p__Tenericutes|o__Mycoplasmoidales	278
k__Bacteria|p__Cyanobacteria	680
k__Bacteria|p__Cyanobacteria|o__Chroococcales	212
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	40
k__Bacteria|p__Cyanobacteria|o__Synechococcales	249
k__Bacteria|p__Cyanobacteria|o__Nostocales	84
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	62
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	15
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	15
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	9
k__Bacteria|p__Cyanobacteria|o__Thermostichales	5
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	1
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	1
k__Bacteria|p__Deinococcus-Thermus	330
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	330
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	266
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	63
k__Bacteria|p__Chloroflexi	271
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	136
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	136
k__Bacteria|p__Chloroflexi|c__Tepidiformia	44
k__Bacteria|p__Chloroflexi|c__Tepidiformia|o__Tepidiformales	44
k__Bacteria|p__Chloroflexi|c__Anaerolineae	38
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	38
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	16
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	13
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales	3
k__Bacteria|p__Chloroflexi|c__Caldilineae	15
k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales	15
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	9
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	9
k__Bacteria|p__Chloroflexi|c__Chloroflexia	7
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	7
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	4
k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales	4
k__Bacteria|p__Armatimonadetes	3
