#Classification	S-1-POLCOM-G_bracken_P.kreport
k__Bacteria	254660
k__Bacteria|p__Proteobacteria	193527
k__Bacteria|p__Actinobacteria	40660
k__Bacteria|p__Cyanobacteria	1005
k__Bacteria|p__Firmicutes	5813
k__Bacteria|p__Deinococcus-Thermus	6
k__Bacteria|p__Tenericutes	4
k__Bacteria|p__Chloroflexi	3
k__Bacteria|p__Armatimonadetes	2
k__Bacteria|p__Acidobacteria	10980
k__Bacteria|p__Bacteroidetes	1813
k__Bacteria|p__Gemmatimonadetes	33
k__Bacteria|p__Planctomycetes	688
k__Bacteria|p__Verrucomicrobia	80
k__Bacteria|p__Chlamydiae	10
k__Bacteria|p__Spirochaetes	28
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Eukaryota	104524
k__Eukaryota|k__Viridiplantae	96227
k__Eukaryota|k__Viridiplantae|p__Streptophyta	96203
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	24
k__Eukaryota|k__Metazoa	7226
k__Eukaryota|k__Metazoa|p__Chordata	7226
k__Eukaryota|k__Fungi	1059
k__Eukaryota|k__Fungi|p__Ascomycota	964
k__Eukaryota|k__Fungi|p__Basidiomycota	94
k__Eukaryota|p__Evosea	8
k__Eukaryota|p__Cercozoa	1
k__Eukaryota|p__Apicomplexa	1
k__Archaea	11
k__Archaea|p__Euryarchaeota	11
k__Viruses	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
