#Classification	S-3-POLJUN-G_bracken_P.kreport
k__Bacteria	367372
k__Bacteria|p__Proteobacteria	294982
k__Bacteria|p__Actinobacteria	59253
k__Bacteria|p__Cyanobacteria	648
k__Bacteria|p__Firmicutes	812
k__Bacteria|p__Deinococcus-Thermus	17
k__Bacteria|p__Armatimonadetes	6
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	9340
k__Bacteria|p__Bacteroidetes	1625
k__Bacteria|p__Gemmatimonadetes	12
k__Bacteria|p__Planctomycetes	525
k__Bacteria|p__Verrucomicrobia	102
k__Bacteria|p__Chlamydiae	11
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Bacteria|p__Spirochaetes	30
k__Eukaryota	79155
k__Eukaryota|k__Viridiplantae	73662
k__Eukaryota|k__Viridiplantae|p__Streptophyta	73635
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	27
k__Eukaryota|k__Metazoa	4643
k__Eukaryota|k__Metazoa|p__Chordata	4643
k__Eukaryota|k__Fungi	839
k__Eukaryota|k__Fungi|p__Ascomycota	760
k__Eukaryota|k__Fungi|p__Basidiomycota	79
k__Eukaryota|p__Euglenozoa	9
k__Archaea	3
k__Archaea|p__Euryarchaeota	3
k__Viruses	1
k__Viruses|k__Shotokuvirae	1
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	1
