#Classification	S-5-POLPIL-G_bracken_P.kreport
k__Bacteria	42950
k__Bacteria|p__Proteobacteria	37937
k__Bacteria|p__Actinobacteria	1716
k__Bacteria|p__Firmicutes	1944
k__Bacteria|p__Cyanobacteria	3
k__Bacteria|p__Acidobacteria	1070
k__Bacteria|p__Bacteroidetes	233
k__Bacteria|p__Planctomycetes	35
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	2640
k__Eukaryota|k__Viridiplantae	1833
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1833
k__Eukaryota|k__Metazoa	694
k__Eukaryota|k__Metazoa|p__Chordata	694
k__Eukaryota|k__Fungi	112
k__Eukaryota|k__Fungi|p__Ascomycota	112
