#Classification	SRR20002444_bracken_P.kreport
k__Bacteria	18115538
k__Bacteria|p__Proteobacteria	17394155
k__Bacteria|p__Firmicutes	702748
k__Bacteria|p__Actinobacteria	18171
k__Bacteria|p__Deinococcus-Thermus	111
k__Bacteria|p__Cyanobacteria	6
k__Bacteria|p__Bacteroidetes	321
k__Bacteria|p__Chlamydiae	12
k__Bacteria|p__Verrucomicrobia	6
k__Bacteria|p__Spirochaetes	3
k__Bacteria|p__Nitrospirae	2
k__Bacteria|p__Fusobacteria	2
k__Eukaryota	1600
k__Eukaryota|k__Fungi	1206
k__Eukaryota|k__Fungi|p__Basidiomycota	1100
k__Eukaryota|k__Fungi|p__Ascomycota	105
k__Eukaryota|k__Metazoa	209
k__Eukaryota|k__Metazoa|p__Chordata	209
k__Eukaryota|k__Viridiplantae	174
k__Eukaryota|k__Viridiplantae|p__Streptophyta	174
k__Eukaryota|p__Apicomplexa	9
k__Eukaryota|p__Euglenozoa	1
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Viruses	589
k__Viruses|k__Heunggongvirae	589
k__Viruses|k__Heunggongvirae|p__Uroviricota	589
