#Classification	W-1-TORTOR-G_bracken_C.kreport
k__Bacteria	89131
k__Bacteria|p__Proteobacteria	59662
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	43049
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	15654
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	954
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	4
k__Bacteria|p__Actinobacteria	12203
k__Bacteria|p__Actinobacteria|c__Actinomycetia	11498
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	473
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	181
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	49
k__Bacteria|p__Firmicutes	5044
k__Bacteria|p__Firmicutes|c__Bacilli	5044
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	4
k__Bacteria|p__Acidobacteria	10675
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	10675
k__Bacteria|p__Bacteroidetes	1524
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	738
k__Bacteria|p__Bacteroidetes|c__Cytophagia	785
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Bacteria|p__Planctomycetes	17
k__Bacteria|p__Planctomycetes|c__Planctomycetia	17
k__Eukaryota	6216
k__Eukaryota|k__Viridiplantae	5996
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5996
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	5967
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	29
k__Eukaryota|k__Metazoa	212
k__Eukaryota|k__Metazoa|p__Chordata	212
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	212
k__Eukaryota|k__Fungi	6
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	4
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	2
