#Classification	SRR20002376_bracken_P.kreport
k__Bacteria	27367
k__Bacteria|p__Proteobacteria	21500
k__Bacteria|p__Actinobacteria	1248
k__Bacteria|p__Firmicutes	4565
k__Bacteria|p__Deinococcus-Thermus	33
k__Bacteria|p__Bacteroidetes	14
k__Bacteria|p__Fusobacteria	2
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	2425
k__Eukaryota|k__Metazoa	2286
k__Eukaryota|k__Metazoa|p__Chordata	2286
k__Eukaryota|k__Fungi	85
k__Eukaryota|k__Fungi|p__Basidiomycota	83
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Eukaryota|k__Viridiplantae	36
k__Eukaryota|k__Viridiplantae|p__Streptophyta	36
k__Eukaryota|p__Apicomplexa	18
