#Classification	S-8-POLCOM-B_bracken_C.kreport
k__Bacteria	1964365
k__Bacteria|p__Proteobacteria	1250941
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	604984
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	460070
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	174020
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	11266
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	179
k__Bacteria|p__Proteobacteria|c__Oligoflexia	105
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	257
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	52
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	3
k__Bacteria|p__Actinobacteria	562870
k__Bacteria|p__Actinobacteria|c__Actinomycetia	450664
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	19315
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	6448
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2312
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1317
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	82812
k__Bacteria|p__Firmicutes	13964
k__Bacteria|p__Firmicutes|c__Bacilli	11691
k__Bacteria|p__Firmicutes|c__Clostridia	1949
k__Bacteria|p__Firmicutes|c__Negativicutes	196
k__Bacteria|p__Firmicutes|c__Limnochordia	14
k__Bacteria|p__Firmicutes|c__Tissierellia	73
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	38
k__Bacteria|p__Deinococcus-Thermus	417
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	417
k__Bacteria|p__Chloroflexi	342
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	140
k__Bacteria|p__Chloroflexi|c__Chloroflexia	31
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	19
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	18
k__Bacteria|p__Chloroflexi|c__Tepidiformia	18
k__Bacteria|p__Chloroflexi|c__Anaerolineae	13
k__Bacteria|p__Chloroflexi|c__Caldilineae	10
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	90
