#Classification	S-8-POLCOM-B_bracken_P.kreport
k__Bacteria	1964858
k__Bacteria|p__Proteobacteria	1250941
k__Bacteria|p__Actinobacteria	480238
k__Bacteria|p__Cyanobacteria	82739
k__Bacteria|p__Firmicutes	13964
k__Bacteria|p__Deinococcus-Thermus	417
k__Bacteria|p__Chloroflexi	342
k__Bacteria|p__Armatimonadetes	102
k__Bacteria|p__Tenericutes	56
k__Bacteria|p__Acidobacteria	78483
k__Bacteria|p__Bacteroidetes	39196
k__Bacteria|p__Chlorobi	35
k__Bacteria|p__Rhodothermaeota	61
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	341
k__Bacteria|p__Fibrobacteres	7
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Planctomycetes	13024
k__Bacteria|p__Verrucomicrobia	3427
k__Bacteria|p__Chlamydiae	142
k__Bacteria|p__Kiritimatiellaeota	411
k__Bacteria|p__Candidatus_Omnitrophica	3
k__Bacteria|p__Candidatus_Saccharibacteria	93
k__Bacteria|p__Candidatus_Absconditabacteria	18
k__Bacteria|p__Candidatus_Bipolaricaulota	3
k__Bacteria|p__Spirochaetes	374
k__Bacteria|p__Nitrospirae	201
k__Bacteria|p__Synergistetes	36
k__Bacteria|p__Deferribacteres	10
k__Bacteria|p__Fusobacteria	89
k__Bacteria|p__Elusimicrobia	5
k__Bacteria|p__Thermotogae	5
k__Bacteria|p__Chrysiogenetes	75
k__Bacteria|p__Aquificae	4
k__Bacteria|p__Atribacterota	1
k__Bacteria|p__Thermodesulfobacteria	1
k__Eukaryota	35512
k__Eukaryota|k__Fungi	10530
k__Eukaryota|k__Fungi|p__Ascomycota	9050
k__Eukaryota|k__Fungi|p__Basidiomycota	1480
k__Eukaryota|k__Metazoa	9892
k__Eukaryota|k__Metazoa|p__Chordata	9892
k__Eukaryota|k__Viridiplantae	14982
k__Eukaryota|k__Viridiplantae|p__Streptophyta	14396
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	586
k__Eukaryota|p__Apicomplexa	38
k__Eukaryota|p__Bacillariophyta	18
k__Eukaryota|p__Cercozoa	9
k__Eukaryota|p__Euglenozoa	34
k__Eukaryota|p__Evosea	4
k__Eukaryota|p__Rhodophyta	2
k__Archaea	312
k__Archaea|p__Euryarchaeota	307
k__Archaea|p__Thaumarchaeota	5
k__Viruses	36
k__Viruses|k__Heunggongvirae	32
k__Viruses|k__Heunggongvirae|p__Uroviricota	31
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
k__Viruses|k__Bamfordvirae	3
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	3
k__Viruses|k__Pararnavirae	1
k__Viruses|k__Pararnavirae|p__Artverviricota	1
