#Classification	S-8-POLJUN-G_bracken_P.kreport
k__Bacteria	19194
k__Bacteria|p__Proteobacteria	18405
k__Bacteria|p__Actinobacteria	457
k__Bacteria|p__Cyanobacteria	79
k__Bacteria|p__Bacteroidetes	175
k__Bacteria|p__Acidobacteria	69
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	1130
k__Eukaryota|k__Viridiplantae	1014
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1014
k__Eukaryota|k__Metazoa	108
k__Eukaryota|k__Metazoa|p__Chordata	108
k__Eukaryota|k__Fungi	7
k__Eukaryota|k__Fungi|p__Basidiomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota	2
