#Classification	NS10_bracken_P.kreport
k__Bacteria	2702247
k__Bacteria|p__Firmicutes	1935656
k__Bacteria|p__Actinobacteria	720926
k__Bacteria|p__Bacteroidetes	28002
k__Bacteria|p__Proteobacteria	17461
k__Bacteria|p__Verrucomicrobia	147
k__Bacteria|p__Spirochaetes	25
k__Bacteria|p__Fusobacteria	23
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Eukaryota	2818
k__Eukaryota|k__Viridiplantae	2818
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2818
k__Archaea	17
k__Archaea|p__Euryarchaeota	17
k__Viruses	117216
k__Viruses|k__Heunggongvirae	117216
k__Viruses|k__Heunggongvirae|p__Uroviricota	117216
