#Classification	N-2-POLJUN-G_bracken_P.kreport
k__Bacteria	110307
k__Bacteria|p__Proteobacteria	105376
k__Bacteria|p__Cyanobacteria	2546
k__Bacteria|p__Actinobacteria	1456
k__Bacteria|p__Firmicutes	41
k__Bacteria|p__Acidobacteria	799
k__Bacteria|p__Bacteroidetes	78
k__Bacteria|p__Planctomycetes	8
k__Eukaryota	1017
k__Eukaryota|k__Viridiplantae	896
k__Eukaryota|k__Viridiplantae|p__Streptophyta	896
k__Eukaryota|k__Metazoa	108
k__Eukaryota|k__Metazoa|p__Chordata	108
k__Eukaryota|k__Fungi	12
k__Eukaryota|k__Fungi|p__Basidiomycota	10
k__Eukaryota|k__Fungi|p__Ascomycota	2
