#Classification	S-14-POLPIL-B_bracken_P.kreport
k__Bacteria	1173097
k__Bacteria|p__Proteobacteria	911568
k__Bacteria|p__Actinobacteria	208679
k__Bacteria|p__Cyanobacteria	540
k__Bacteria|p__Firmicutes	4571
k__Bacteria|p__Deinococcus-Thermus	117
k__Bacteria|p__Armatimonadetes	26
k__Bacteria|p__Chloroflexi	16
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Bacteroidetes	23636
k__Bacteria|p__Rhodothermaeota	62
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	280
k__Bacteria|p__Acidobacteria	17491
k__Bacteria|p__Planctomycetes	4523
k__Bacteria|p__Verrucomicrobia	851
k__Bacteria|p__Chlamydiae	69
k__Bacteria|p__Spirochaetes	574
k__Bacteria|p__Candidatus_Saccharibacteria	17
k__Bacteria|p__Nitrospirae	2
k__Bacteria|p__Chrysiogenetes	62
k__Bacteria|p__Thermotogae	2
k__Eukaryota	56751
k__Eukaryota|k__Viridiplantae	45904
k__Eukaryota|k__Viridiplantae|p__Streptophyta	45772
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	132
k__Eukaryota|k__Metazoa	6111
k__Eukaryota|k__Metazoa|p__Chordata	6111
k__Eukaryota|k__Fungi	4715
k__Eukaryota|k__Fungi|p__Ascomycota	3495
k__Eukaryota|k__Fungi|p__Basidiomycota	1219
k__Eukaryota|p__Cercozoa	6
k__Eukaryota|p__Bacillariophyta	4
k__Eukaryota|p__Apicomplexa	1
k__Eukaryota|p__Euglenozoa	9
k__Archaea	9
k__Archaea|p__Euryarchaeota	9
k__Viruses	13
k__Viruses|k__Heunggongvirae	9
k__Viruses|k__Heunggongvirae|p__Uroviricota	9
k__Viruses|k__Bamfordvirae	4
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	4
