name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Nostoc sp028623165	96889	S	2	177	179	0.06145
Nostoc sp002949735	96860	S	1	151	152	0.05218
Granulicella sp903970445	40192	S	259	1405	1664	0.57123
Granulicella elongata	40164	S	1	1	2	0.00069
Granulicella_C pectinivorans	40196	S	1	2	3	0.00103
Granulicella_C sibirica	40198	S	1	9	10	0.00343
Acidisarcina polymorpha	40108	S	1	4	5	0.00172
Edaphobacter sp025408425	40155	S	1	2	3	0.00103
Janthinobacterium sp014200725	127467	S	1	17	18	0.00618
Caballeronia sordidicola_C	126762	S	1	27	28	0.00961
Methylobacterium sp022829385	118327	S	6	45	51	0.01751
Acidisoma sp009765865	113615	S	7	12	19	0.00652
Lichenicoccus roseus	113922	S	4	14	18	0.00618
Sphingomonas_N sp937859915	125357	S	1	4	5	0.00172
Rhizomicrobium sp003131925	115838	S	1	12	13	0.00446
Palsa-1515 sp903970385	102220	S	102	538	640	0.21970
Palsibacter borealis	102221	S	1	53	54	0.01854
CAJCIY01 sp903970495	45419	S	3	18	21	0.00721
Streptacidiphilus sp014084125	48897	S	1	11	12	0.00412
Urbifossiella sp003136315	112249	S	1	0	1	0.00034
BOG-944 sp003134215	52989	S	1	4	5	0.00172
