#Classification	S-17-POLPIL-B_bracken_P.kreport
k__Bacteria	40686
k__Bacteria|p__Proteobacteria	35190
k__Bacteria|p__Actinobacteria	4063
k__Bacteria|p__Cyanobacteria	117
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Armatimonadetes	2
k__Bacteria|p__Bacteroidetes	687
k__Bacteria|p__Planctomycetes	372
k__Bacteria|p__Verrucomicrobia	2
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Acidobacteria	248
k__Eukaryota	423
k__Eukaryota|k__Viridiplantae	242
k__Eukaryota|k__Viridiplantae|p__Streptophyta	242
k__Eukaryota|k__Metazoa	132
k__Eukaryota|k__Metazoa|p__Chordata	132
k__Eukaryota|k__Fungi	48
k__Eukaryota|k__Fungi|p__Ascomycota	42
k__Eukaryota|k__Fungi|p__Basidiomycota	6
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
