#Classification	S-18-POLPIL-G_bracken_P.kreport
k__Bacteria	228835
k__Bacteria|p__Proteobacteria	183056
k__Bacteria|p__Actinobacteria	36427
k__Bacteria|p__Cyanobacteria	284
k__Bacteria|p__Firmicutes	312
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Armatimonadetes	2
k__Bacteria|p__Bacteroidetes	4445
k__Bacteria|p__Acidobacteria	3984
k__Bacteria|p__Planctomycetes	295
k__Bacteria|p__Verrucomicrobia	15
k__Bacteria|p__Chlamydiae	7
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Eukaryota	53269
k__Eukaryota|k__Viridiplantae	50139
k__Eukaryota|k__Viridiplantae|p__Streptophyta	50138
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	1
k__Eukaryota|k__Metazoa	2095
k__Eukaryota|k__Metazoa|p__Chordata	2095
k__Eukaryota|k__Fungi	1033
k__Eukaryota|k__Fungi|p__Ascomycota	895
k__Eukaryota|k__Fungi|p__Basidiomycota	137
k__Eukaryota|p__Cercozoa	1
