#Classification	NS4_bracken_P.kreport
k__Bacteria	5564795
k__Bacteria|p__Firmicutes	3317648
k__Bacteria|p__Actinobacteria	149400
k__Bacteria|p__Bacteroidetes	1889855
k__Bacteria|p__Proteobacteria	207759
k__Bacteria|p__Spirochaetes	65
k__Bacteria|p__Verrucomicrobia	37
k__Bacteria|p__Fusobacteria	27
k__Eukaryota	299
k__Eukaryota|k__Metazoa	296
k__Eukaryota|k__Metazoa|p__Chordata	296
k__Eukaryota|k__Viridiplantae	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	324
k__Viruses|k__Heunggongvirae	318
k__Viruses|k__Heunggongvirae|p__Uroviricota	318
k__Viruses|k__Sangervirae	6
k__Viruses|k__Sangervirae|p__Phixviricota	6
