#Classification	NS21_bracken_P.kreport
k__Bacteria	17825897
k__Bacteria|p__Bacteroidetes	9511951
k__Bacteria|p__Ignavibacteriae	19
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Firmicutes	8147354
k__Bacteria|p__Actinobacteria	65148
k__Bacteria|p__Chloroflexi	116
k__Bacteria|p__Tenericutes	66
k__Bacteria|p__Cyanobacteria	53
k__Bacteria|p__Deinococcus-Thermus	22
k__Bacteria|p__Proteobacteria	99025
k__Bacteria|p__Verrucomicrobia	1014
k__Bacteria|p__Planctomycetes	20
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Spirochaetes	636
k__Bacteria|p__Candidatus_Saccharibacteria	246
k__Bacteria|p__Candidatus_Absconditabacteria	1
k__Bacteria|p__Fusobacteria	163
k__Bacteria|p__Synergistetes	20
k__Bacteria|p__Nitrospirae	17
k__Bacteria|p__Acidobacteria	5
k__Bacteria|p__Aquificae	3
k__Bacteria|p__Atribacterota	2
k__Bacteria|p__Thermotogae	2
k__Bacteria|p__Coprothermobacterota	1
k__Bacteria|p__Calditrichaeota	1
k__Bacteria|p__Dictyoglomi	1
k__Bacteria|p__Deferribacteres	1
k__Eukaryota	1145
k__Eukaryota|k__Viridiplantae	729
k__Eukaryota|k__Viridiplantae|p__Streptophyta	729
k__Eukaryota|k__Metazoa	322
k__Eukaryota|k__Metazoa|p__Chordata	322
k__Eukaryota|k__Fungi	91
k__Eukaryota|k__Fungi|p__Ascomycota	87
k__Eukaryota|k__Fungi|p__Basidiomycota	3
k__Eukaryota|p__Apicomplexa	2
k__Archaea	86
k__Archaea|p__Euryarchaeota	76
k__Archaea|p__Crenarchaeota	8
k__Archaea|p__Candidatus_Thermoplasmatota	2
k__Viruses	23247
k__Viruses|k__Heunggongvirae	23171
k__Viruses|k__Heunggongvirae|p__Uroviricota	23171
k__Viruses|k__Sangervirae	76
k__Viruses|k__Sangervirae|p__Phixviricota	76
