#Classification	S-7-POLPIL-B_bracken_P.kreport
k__Bacteria	285002
k__Bacteria|p__Proteobacteria	182966
k__Bacteria|p__Actinobacteria	76591
k__Bacteria|p__Cyanobacteria	5303
k__Bacteria|p__Chloroflexi	26
k__Bacteria|p__Firmicutes	549
k__Bacteria|p__Armatimonadetes	11
k__Bacteria|p__Planctomycetes	8196
k__Bacteria|p__Verrucomicrobia	94
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Acidobacteria	8204
k__Bacteria|p__Bacteroidetes	3048
k__Bacteria|p__Gemmatimonadetes	2
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Eukaryota	7021
k__Eukaryota|k__Metazoa	2862
k__Eukaryota|k__Metazoa|p__Chordata	2862
k__Eukaryota|k__Fungi	1214
k__Eukaryota|k__Fungi|p__Ascomycota	1109
k__Eukaryota|k__Fungi|p__Basidiomycota	105
k__Eukaryota|k__Viridiplantae	2945
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2936
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	8
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
