#Classification	S-8-DICUND-B_bracken_O.kreport
k__Bacteria	624950
k__Bacteria|p__Proteobacteria	344102
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	155467
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	150041
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2853
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2455
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	116
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	138244
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	87248
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	10079
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	17430
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	21094
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2146
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	105
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	94
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	29
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	15
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	42948
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	6135
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	12301
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	15723
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	6174
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	149
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	136
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	242
