feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Acetobacteraceae	Group	eczema	-0.000671951633292304	0.00238855271627935	70	41	0.779317982262323	0.944821594476194
Acidaminococcaceae	Group	eczema	-0.000600879019720821	0.000627446395444488	70	27	0.341627809461084	0.944821594476194
Actinomycetaceae	Group	eczema	-0.00104595481835372	0.00352845480548029	70	66	0.767801979400134	0.944821594476194
Aerococcaceae	Group	eczema	-0.00363569807207266	0.00484322212759967	70	43	0.455436587680917	0.944821594476194
Aeromonadaceae	Group	eczema	-0.000589729927564629	0.00211473932419695	70	37	0.781193625921651	0.944821594476194
Akkermansiaceae	Group	eczema	-0.00148663874861241	0.00115604884644486	70	48	0.202816893715775	0.944821594476194
Alcaligenaceae	Group	eczema	-0.00420528498796437	0.00983268248066189	70	67	0.670232308506879	0.944821594476194
Alicyclobacillaceae	Group	eczema	-8.07949043530651e-05	0.000323424710688474	70	41	0.803486992033752	0.944821594476194
Atopobiaceae	Group	eczema	8.78347547585523e-05	0.000352313457292798	70	26	0.803873657363655	0.944821594476194
Aurantimonadaceae	Group	eczema	0.000489982631718512	0.000894981720513465	70	31	0.585843013880958	0.944821594476194
Azospirillaceae	Group	eczema	-0.00546602160666965	0.00617425766459304	70	67	0.379118968553031	0.944821594476194
Bacillaceae	Group	eczema	-0.00321059993864875	0.00395314470185779	70	63	0.41953192825477	0.944821594476194
Bacteroidaceae	Group	eczema	0.00115188781600522	0.0107731629460185	70	65	0.915165710229411	0.944821594476194
Bifidobacteriaceae	Group	eczema	0.00113719004038023	0.0110808857246926	70	69	0.918561633726131	0.944821594476194
Boseaceae	Group	eczema	0.000253157190202365	0.000176237655615521	70	9	0.155458307264978	0.944821594476194
Bradyrhizobiaceae	Group	eczema	0.000724901307586661	0.000769747211102307	70	53	0.349659746585469	0.944821594476194
Brevibacteriaceae	Group	eczema	0.00121491748964549	0.00179975762179993	70	66	0.501936058581084	0.944821594476194
Brucellaceae	Group	eczema	-0.000358544746103939	0.00109746106451044	70	44	0.744895376280076	0.944821594476194
Burkholderiaceae	Group	eczema	0.00233823070594042	0.0145273852554202	70	70	0.872607403417805	0.944821594476194
Campylobacteraceae	Group	eczema	0.000830031290973635	0.00083619496472277	70	27	0.324409948214363	0.944821594476194
Cardiobacteriaceae	Group	eczema	0.00018721710045899	0.000253150278898861	70	21	0.462119036032011	0.944821594476194
Carnobacteriaceae	Group	eczema	0.00128820456533297	0.00144694340954208	70	56	0.376447311779476	0.944821594476194
Chromatiaceae	Group	eczema	-6.5568542683109e-05	0.00056483247819885	70	26	0.907927373933578	0.944821594476194
Chromobacteriaceae	Group	eczema	-0.000725457491665814	0.000387338062549483	70	45	0.0653770630986638	0.944821594476194
Chroococcidiopsidaceae	Group	eczema	-0.000500979752173928	0.000487407320381164	70	20	0.307664530495612	0.944821594476194
Clostridiaceae	Group	eczema	-0.00126947755830607	0.000886742303922091	70	20	0.156833119493564	0.944821594476194
Clostridiales.Family.XVII..Incertae.Sedis	Group	eczema	-0.000861329511915569	0.000708394590347654	70	10	0.228231232210054	0.944821594476194
Comamonadaceae	Group	eczema	0.00378708499540397	0.00650747808659178	70	69	0.562518830096552	0.944821594476194
Coriobacteriaceae	Group	eczema	-0.00143953108683495	0.0020473719452335	70	54	0.484386529196906	0.944821594476194
Corynebacteriaceae	Group	eczema	0.0639189650462884	0.0717223319844703	70	70	0.375964289827376	0.944821594476194
Cytophagaceae	Group	eczema	-0.000271133454686316	0.00021949933763618	70	14	0.220993587950254	0.944821594476194
Deinococcaceae	Group	eczema	-0.000436435442384359	0.000744864886709432	70	46	0.559865271571965	0.944821594476194
Dermabacteraceae	Group	eczema	-0.00237405739760539	0.00373338445793415	70	42	0.52697638653871	0.944821594476194
Dermacoccaceae	Group	eczema	0.0021231693319364	0.00293368263031117	70	69	0.471719121355653	0.944821594476194
Dietziaceae	Group	eczema	0.000222055736378431	0.000803217171303602	70	42	0.783034936683722	0.944821594476194
Ectothiorhodospiraceae	Group	eczema	0.000131765550506145	0.00102629911270693	70	38	0.898220073406315	0.944821594476194
Eggerthellaceae	Group	eczema	-0.000747018565095582	0.0015756340666247	70	47	0.636942720883248	0.944821594476194
Enterobacteriaceae	Group	eczema	-0.0721108138526697	0.048926937075094	70	66	0.145137321166967	0.944821594476194
Enterococcaceae	Group	eczema	0.00262281998128161	0.00734933082834791	70	64	0.722287679190728	0.944821594476194
Erwiniaceae	Group	eczema	0.001444288793939	0.00227399608165153	70	52	0.527473470329785	0.944821594476194
Erysipelotrichaceae	Group	eczema	-0.000924418115411158	0.00098616916187493	70	23	0.351879092587802	0.944821594476194
Erythrobacteraceae	Group	eczema	-0.000139935033436323	0.00048544710204808	70	31	0.77402446711578	0.944821594476194
Eubacteriales.Family.XIII..Incertae.Sedis	Group	eczema	-2.42279856401609e-05	0.000172503551791843	70	8	0.888720296258196	0.944821594476194
Flavobacteriaceae	Group	eczema	0.000759697143182659	0.000628069596518795	70	38	0.230630564646336	0.944821594476194
Fusobacteriaceae	Group	eczema	0.00398643983361464	0.00464420341723586	70	15	0.393704359108382	0.944821594476194
Geodermatophilaceae	Group	eczema	6.33864468931601e-05	0.000365517310527595	70	19	0.86283986026758	0.944821594476194
Gordoniaceae	Group	eczema	-0.00055648496477277	0.00144147533222815	70	60	0.700663125043178	0.944821594476194
Halieaceae	Group	eczema	-0.000172000784250791	0.000198898504064038	70	9	0.39020736894475	0.944821594476194
Halomonadaceae	Group	eczema	0.00147818126021832	0.00217698582690993	70	64	0.499440177211287	0.944821594476194
Hydrogenophilaceae	Group	eczema	-0.000532684331611612	0.00276086195749256	70	63	0.847580040334488	0.944821594476194
Hymenobacteraceae	Group	eczema	0.000280159110108198	0.000190553341406047	70	11	0.146108924502173	0.944821594476194
Intrasporangiaceae	Group	eczema	-0.000639750842076237	0.000793297468888264	70	55	0.422797765192975	0.944821594476194
Kytococcaceae	Group	eczema	-0.000808832713159193	0.00160999167626682	70	51	0.61702108763994	0.944821594476194
