#Classification	SRR20002371_bracken_P.kreport
k__Bacteria	215016
k__Bacteria|p__Firmicutes	86274
k__Bacteria|p__Actinobacteria	31510
k__Bacteria|p__Deinococcus-Thermus	2320
k__Bacteria|p__Cyanobacteria	3
k__Bacteria|p__Proteobacteria	93530
k__Bacteria|p__Bacteroidetes	1329
k__Bacteria|p__Verrucomicrobia	38
k__Bacteria|p__Chlamydiae	6
k__Bacteria|p__Fusobacteria	3
k__Bacteria|p__Spirochaetes	1
k__Eukaryota	4031
k__Eukaryota|k__Metazoa	3392
k__Eukaryota|k__Metazoa|p__Chordata	3392
k__Eukaryota|k__Fungi	514
k__Eukaryota|k__Fungi|p__Basidiomycota	498
k__Eukaryota|k__Fungi|p__Ascomycota	16
k__Eukaryota|k__Viridiplantae	115
k__Eukaryota|k__Viridiplantae|p__Streptophyta	115
k__Eukaryota|p__Apicomplexa	8
k__Archaea	4
k__Archaea|p__Euryarchaeota	4
k__Viruses	20
k__Viruses|k__Heunggongvirae	20
k__Viruses|k__Heunggongvirae|p__Uroviricota	20
