#Classification	SRR5091502_bracken_P.kreport
k__Bacteria	12961414
k__Bacteria|p__Bacteroidetes	10465182
k__Bacteria|p__Chlorobi	2
k__Bacteria|p__Gemmatimonadetes	11
k__Bacteria|p__Fibrobacteres	1
k__Bacteria|p__Firmicutes	2261883
k__Bacteria|p__Actinobacteria	52484
k__Bacteria|p__Chloroflexi	30
k__Bacteria|p__Cyanobacteria	28
k__Bacteria|p__Tenericutes	30
k__Bacteria|p__Deinococcus-Thermus	12
k__Bacteria|p__Verrucomicrobia	78206
k__Bacteria|p__Planctomycetes	23
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Proteobacteria	102680
k__Bacteria|p__Synergistetes	357
k__Bacteria|p__Spirochaetes	211
k__Bacteria|p__Candidatus_Saccharibacteria	138
k__Bacteria|p__Fusobacteria	97
k__Bacteria|p__Acidobacteria	19
k__Bacteria|p__Thermotogae	9
k__Bacteria|p__Nitrospirae	2
k__Bacteria|p__Atribacterota	2
k__Eukaryota	927
k__Eukaryota|k__Viridiplantae	475
k__Eukaryota|k__Viridiplantae|p__Streptophyta	468
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	6
k__Eukaryota|k__Fungi	232
k__Eukaryota|k__Fungi|p__Ascomycota	232
k__Eukaryota|k__Metazoa	218
k__Eukaryota|k__Metazoa|p__Chordata	218
k__Eukaryota|p__Euglenozoa	2
k__Archaea	20
k__Archaea|p__Euryarchaeota	18
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Archaea|p__Crenarchaeota	1
k__Viruses	20110
k__Viruses|k__Heunggongvirae	20110
k__Viruses|k__Heunggongvirae|p__Uroviricota	20110
