#Classification	S-22-POLJUN-B_bracken_P.kreport
k__Bacteria	1458623
k__Bacteria|p__Proteobacteria	764750
k__Bacteria|p__Actinobacteria	280927
k__Bacteria|p__Cyanobacteria	171352
k__Bacteria|p__Firmicutes	140589
k__Bacteria|p__Chloroflexi	1326
k__Bacteria|p__Deinococcus-Thermus	319
k__Bacteria|p__Armatimonadetes	163
k__Bacteria|p__Tenericutes	22
k__Bacteria|p__Acidobacteria	63597
k__Bacteria|p__Bacteroidetes	18685
k__Bacteria|p__Chlorobi	27
k__Bacteria|p__Rhodothermaeota	40
k__Bacteria|p__Balneolaeota	4
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Gemmatimonadetes	1662
k__Bacteria|p__Fibrobacteres	4
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Planctomycetes	11901
k__Bacteria|p__Verrucomicrobia	2465
k__Bacteria|p__Chlamydiae	56
k__Bacteria|p__Kiritimatiellaeota	482
k__Bacteria|p__Candidatus_Saccharibacteria	63
k__Bacteria|p__Candidatus_Bipolaricaulota	1
k__Bacteria|p__Spirochaetes	82
k__Bacteria|p__Nitrospirae	25
k__Bacteria|p__Synergistetes	29
k__Bacteria|p__Deferribacteres	6
k__Bacteria|p__Elusimicrobia	3
k__Bacteria|p__Thermotogae	3
k__Bacteria|p__Fusobacteria	12
k__Bacteria|p__Atribacterota	1
k__Bacteria|p__Dictyoglomi	1
k__Bacteria|p__Chrysiogenetes	13
k__Eukaryota	33758
k__Eukaryota|k__Fungi	9278
k__Eukaryota|k__Fungi|p__Ascomycota	8911
k__Eukaryota|k__Fungi|p__Basidiomycota	366
k__Eukaryota|k__Metazoa	9088
k__Eukaryota|k__Metazoa|p__Chordata	9088
k__Eukaryota|k__Viridiplantae	15299
k__Eukaryota|k__Viridiplantae|p__Streptophyta	14801
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	497
k__Eukaryota|p__Apicomplexa	44
k__Eukaryota|p__Bacillariophyta	13
k__Eukaryota|p__Cercozoa	2
k__Eukaryota|p__Evosea	19
k__Eukaryota|p__Euglenozoa	14
k__Archaea	211
k__Archaea|p__Euryarchaeota	202
k__Archaea|p__Thaumarchaeota	3
k__Archaea|p__Crenarchaeota	6
k__Viruses	311
k__Viruses|k__Heunggongvirae	310
k__Viruses|k__Heunggongvirae|p__Uroviricota	310
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
