#Classification	S-22-POLJUN-B_bracken_O.kreport
k__Bacteria	1458280
k__Bacteria|p__Proteobacteria	764749
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	375737
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	226209
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	77721
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	42627
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	22845
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	5818
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	215
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	160
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	42
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	10
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	66
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	9
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	229478
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	177510
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	32864
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	10179
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	492
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	607
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	283
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	370
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	180
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	531
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	1721
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	139
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	302
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	80
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	39
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	43
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	4022
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	49
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	22
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	30
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	6
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	150382
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	145263
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3000
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	912
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1206
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	8943
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	7715
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	469
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	323
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	35
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	67
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	262
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	65
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	2
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	69
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	66
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	2
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	88
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	88
k__Bacteria|p__Proteobacteria|c__Oligoflexia	34
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	27
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	5
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	1
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	14
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	14
k__Bacteria|p__Actinobacteria	280927
k__Bacteria|p__Actinobacteria|c__Actinomycetia	270092
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	106905
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	43529
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	39505
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	19002
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	18197
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	9603
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	7457
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	2524
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2569
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	2592
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	4476
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	1405
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	948
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1092
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	8914
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	322
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	836
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales	86
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Acidothermales	62
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinopolysporales	42
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	14
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	6926
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	6569
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	356
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2833
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2833
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	563
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	563
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	377
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	106
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	270
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	135
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egicoccales	86
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	32
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Egibacterales	17
k__Bacteria|p__Cyanobacteria	171347
k__Bacteria|p__Cyanobacteria|o__Nostocales	166006
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	3040
k__Bacteria|p__Cyanobacteria|o__Chroococcales	309
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	1386
k__Bacteria|p__Cyanobacteria|o__Synechococcales	383
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	79
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	61
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	61
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	66
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	6
k__Bacteria|p__Cyanobacteria|o__Thermostichales	7
k__Bacteria|p__Firmicutes	140589
k__Bacteria|p__Firmicutes|c__Bacilli	139241
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	138474
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	767
k__Bacteria|p__Firmicutes|c__Clostridia	1110
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	1087
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	14
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	7
k__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales	1
k__Bacteria|p__Firmicutes|c__Negativicutes	104
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	36
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	66
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	1
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	77
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	77
k__Bacteria|p__Firmicutes|c__Tissierellia	41
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	41
k__Bacteria|p__Firmicutes|c__Limnochordia	12
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	12
k__Bacteria|p__Chloroflexi	1322
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	1188
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	1188
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	38
k__Bacteria|p__Chloroflexi|c__Ardenticatenia|o__Ardenticatenales	38
k__Bacteria|p__Chloroflexi|c__Chloroflexia	30
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	30
k__Bacteria|p__Chloroflexi|c__Anaerolineae	30
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	30
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	15
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	8
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales	7
k__Bacteria|p__Chloroflexi|c__Tepidiformia	14
k__Bacteria|p__Chloroflexi|c__Tepidiformia|o__Tepidiformales	14
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	3
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	3
