#Classification	S-6-POLPIL-G_bracken_P.kreport
k__Bacteria	642043
k__Bacteria|p__Proteobacteria	515784
k__Bacteria|p__Actinobacteria	83851
k__Bacteria|p__Cyanobacteria	831
k__Bacteria|p__Firmicutes	2257
k__Bacteria|p__Armatimonadetes	16
k__Bacteria|p__Chloroflexi	8
k__Bacteria|p__Deinococcus-Thermus	9
k__Bacteria|p__Acidobacteria	31173
k__Bacteria|p__Bacteroidetes	6133
k__Bacteria|p__Rhodothermaeota	17
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	25
k__Bacteria|p__Planctomycetes	1478
k__Bacteria|p__Verrucomicrobia	415
k__Bacteria|p__Chlamydiae	17
k__Bacteria|p__Candidatus_Omnitrophica	2
k__Bacteria|p__Spirochaetes	16
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Nitrospirae	1
k__Bacteria|p__Thermotogae	1
k__Eukaryota	125920
k__Eukaryota|k__Viridiplantae	114047
k__Eukaryota|k__Viridiplantae|p__Streptophyta	113979
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	68
k__Eukaryota|k__Metazoa	9350
k__Eukaryota|k__Metazoa|p__Chordata	9350
k__Eukaryota|k__Fungi	2512
k__Eukaryota|k__Fungi|p__Ascomycota	2110
k__Eukaryota|k__Fungi|p__Basidiomycota	402
k__Eukaryota|p__Cercozoa	5
k__Eukaryota|p__Apicomplexa	1
k__Eukaryota|p__Euglenozoa	3
k__Archaea	8
k__Archaea|p__Thaumarchaeota	4
k__Archaea|p__Euryarchaeota	4
k__Viruses	10
k__Viruses|k__Heunggongvirae	10
k__Viruses|k__Heunggongvirae|p__Uroviricota	10
